ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-B6-A0RE-01	3064.66	2118.91	5183.57
TCGA-B6-A0RG-01	2962.73	802.97	3765.7
TCGA-B6-A0RH-01	3543.62	1823.81	5367.42
TCGA-B6-A0RI-01	3741.43	2248.2	5989.63
TCGA-B6-A0RL-01	692.48	273.94	966.42
TCGA-B6-A0RM-01	2761.27	1258.09	4019.36
TCGA-B6-A0RN-01	3611.36	1403.78	5015.15
TCGA-B6-A0RO-01	2834.02	1508.95	4342.98
TCGA-B6-A0RP-01	3930.75	2814.6	6745.34
TCGA-B6-A0RS-01	3554.34	2974.1	6528.44
TCGA-B6-A0RT-01	3939.48	4491.08	8430.56
TCGA-B6-A0RU-01	3569.15	1741.97	5311.11
TCGA-B6-A0RV-01	3517.35	2802.01	6319.36
TCGA-B6-A0WS-01	3968.3	3412.75	7381.06
TCGA-B6-A0WT-01	3736.68	2040.43	5777.12
TCGA-B6-A0WV-01	2778.9	643.29	3422.19
TCGA-B6-A0WW-01	3379.17	1669.33	5048.5
TCGA-B6-A0WX-01	3944.2	2688.32	6632.52
TCGA-B6-A0WY-01	3787.79	2482.32	6270.1
TCGA-B6-A0WZ-01	3180.59	1282.82	4463.41
TCGA-B6-A0X0-01	2540.11	1442.06	3982.16
TCGA-B6-A0X1-01	2410.69	3011.98	5422.67
TCGA-B6-A0X4-01	1802.89	322.59	2125.47
TCGA-B6-A0X5-01	2766.51	1169.42	3935.94
TCGA-B6-A0X7-01	3733.74	1496.93	5230.67
TCGA-BH-A0AU-01	3848.25	2637.02	6485.27
TCGA-BH-A0AV-01	3978.98	2773.47	6752.44
TCGA-BH-A0AW-01	3670.89	3603.59	7274.49
TCGA-BH-A0AY-01	4122.71	3012.1	7134.81
TCGA-BH-A0AZ-01	4095.88	2479.42	6575.31
TCGA-BH-A0B0-01	3950.64	3073.57	7024.22
TCGA-BH-A0B3-01	3667.58	3266.62	6934.2
TCGA-BH-A0B4-01	3964.69	2577.21	6541.89
TCGA-BH-A0B7-01	4007.83	3556.74	7564.57
TCGA-BH-A0B9-01	2324.17	3406.71	5730.88
TCGA-BH-A0BA-01	3827.99	2891.84	6719.83
TCGA-BH-A0BC-01	3962.86	3415.99	7378.84
TCGA-BH-A0BD-01	3872.65	2990.75	6863.41
TCGA-BH-A0BF-01	4180.61	3935.96	8116.58
TCGA-BH-A0BG-01	3364.99	3232.56	6597.55
TCGA-BH-A0BJ-01	3898.59	2676.94	6575.53
TCGA-BH-A0BM-01	3687.11	1838.3	5525.41
TCGA-BH-A0BO-01	4052.64	3054.34	7106.98
TCGA-BH-A0BP-01	4120.86	2459.2	6580.07
TCGA-BH-A0BQ-01	3992.23	3003.6	6995.83
TCGA-BH-A0BR-01	4160.2	3099.78	7259.98
TCGA-BH-A0BS-01	3403.93	2048.09	5452.02
TCGA-BH-A0BT-01	2575.65	1524.73	4100.38
TCGA-BH-A0BV-01	3673.18	3029.14	6702.31
TCGA-BH-A0BW-01	3178.77	3552.49	6731.26
TCGA-BH-A0BZ-01	3912.13	3502.83	7414.96
TCGA-BH-A0C0-01	3390.81	3964.06	7354.87
TCGA-BH-A0C1-01	3827.28	2876.14	6703.42
TCGA-BH-A0C3-01	4069.94	3078.3	7148.24
TCGA-BH-A0C7-01	3539.79	2366.04	5905.84
TCGA-BH-A0DD-01	3327.7	2239.59	5567.29
TCGA-BH-A0DE-01	3975.23	2940.41	6915.65
TCGA-BH-A0DG-01	4098.94	2987.53	7086.47
TCGA-BH-A0DH-01	3295.11	2223.16	5518.27
TCGA-BH-A0DI-01	4134.73	3058.3	7193.03
TCGA-BH-A0DK-01	4029.01	3471.28	7500.29
TCGA-BH-A0DL-01	3155.11	3492.51	6647.62
TCGA-BH-A0DO-01	3441.04	1793.85	5234.89
TCGA-BH-A0DP-01	3877.32	2975.55	6852.86
TCGA-BH-A0DQ-01	4090.29	2453.64	6543.93
TCGA-BH-A0DS-01	3553.61	2438.04	5991.65
TCGA-BH-A0DX-01	4098.66	3344.72	7443.38
TCGA-BH-A0DZ-01	3920.4	2853.29	6773.7
TCGA-BH-A0E0-01	2312.34	1851.51	4163.84
TCGA-BH-A0E1-01	3313.44	1451.47	4764.9
TCGA-BH-A0E2-01	3695.04	2036.41	5731.45
TCGA-BH-A0E6-01	3294.37	2320.36	5614.73
TCGA-BH-A0E7-01	3230.71	1147.86	4378.57
