ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-CQ-A4C7-01	187.1	-20.34	166.76
TCGA-CQ-A4C9-01	-368.74	-186.3	-555.05
TCGA-CQ-A4CA-01	258.36	1183.16	1441.52
TCGA-CQ-A4CB-01	350.95	507.67	858.63
TCGA-CQ-A4CD-01	-662.46	704.63	42.17
TCGA-CQ-A4CE-01	-987.78	239.88	-747.9
TCGA-CQ-A4CG-01	-491.12	-392.39	-883.51
TCGA-CQ-A4CH-01	-550.27	101.6	-448.67
TCGA-CQ-A4CI-01	-462.63	-1046.76	-1509.39
TCGA-CR-5243-01	-60.52	592.86	532.34
TCGA-CR-5247-01	202.4	-832.12	-629.72
TCGA-CR-5248-01	-512.32	2378.06	1865.74
TCGA-CR-5249-01	-556.24	1451.98	895.75
TCGA-CR-5250-01	-506.48	607.87	101.38
TCGA-CR-6467-01	-826.7	1484.63	657.94
TCGA-CR-6470-01	221.26	1713.69	1934.95
TCGA-CR-6471-01	165.39	1069.87	1235.26
TCGA-CR-6472-01	-618.19	-423.76	-1041.95
TCGA-CR-6473-01	-1156.77	-309.79	-1466.56
TCGA-CR-6474-01	961.15	822.55	1783.7
TCGA-CR-6477-01	513.88	1037.61	1551.49
TCGA-CR-6478-01	277.82	1909.4	2187.23
TCGA-CR-6480-01	-1542.58	171.84	-1370.73
TCGA-CR-6481-01	225.26	2484.79	2710.05
TCGA-CR-6482-01	260.81	1944.35	2205.16
TCGA-CR-6484-01	808	1734.16	2542.16
TCGA-CR-6487-01	137.75	2239.61	2377.36
TCGA-CR-6488-01	567.39	1067.62	1635.01
TCGA-CR-6491-01	-808.71	-123.81	-932.52
TCGA-CR-6492-01	-642.52	429.54	-212.98
TCGA-CR-6493-01	-1107.34	-221.42	-1328.75
TCGA-CR-7364-01	-586.77	97.54	-489.22
TCGA-CR-7365-01	-2.52	-122.11	-124.63
TCGA-CR-7367-01	933.4	595.78	1529.18
TCGA-CR-7368-01	-646.47	499.21	-147.25
TCGA-CR-7369-01	-297.04	176.54	-120.5
TCGA-CR-7370-01	-277.35	-296.81	-574.16
TCGA-CR-7371-01	37.59	773.44	811.03
TCGA-CR-7372-01	166.94	-84.03	82.9
TCGA-CR-7373-01	-428.12	1219.12	791
TCGA-CR-7374-01	-715.89	123.85	-592.04
TCGA-CR-7376-01	1957.53	2270.14	4227.67
TCGA-CR-7377-01	830.18	1490.62	2320.81
TCGA-CR-7379-01	348.38	345.24	693.62
TCGA-CR-7380-01	384.86	439.8	824.66
TCGA-CR-7382-01	1502.13	1828.38	3330.51
TCGA-CR-7383-01	542.22	1065.36	1607.58
TCGA-CR-7385-01	-940.5	1297.54	357.04
TCGA-CR-7386-01	1463.62	1464.68	2928.3
TCGA-CR-7388-01	193.47	1042.11	1235.58
TCGA-CR-7389-01	301.14	491.35	792.49
TCGA-CR-7390-01	-283.67	-373.18	-656.85
TCGA-CR-7391-01	752.89	1394.47	2147.35
TCGA-CR-7392-01	990.83	1419.75	2410.58
TCGA-CR-7393-01	1147.75	1804.85	2952.6
TCGA-CR-7394-01	731.22	1899.16	2630.38
TCGA-CR-7395-01	358.1	1547.38	1905.48
TCGA-CR-7397-01	1138.72	595.88	1734.6
TCGA-CR-7398-01	-118.57	-179.74	-298.31
TCGA-CR-7399-01	-391.53	1350.21	958.68
TCGA-CR-7401-01	289.38	211.69	501.07
TCGA-CR-7402-01	-766.28	126.16	-640.11
TCGA-CR-7404-01	-400.77	1048.9	648.13
TCGA-CV-5430-01	-350.66	712.77	362.12
TCGA-CV-5431-01	467.33	1459.03	1926.36
TCGA-CV-5432-01	-921.62	-319.97	-1241.59
TCGA-CV-5434-01	701.62	737.89	1439.51
TCGA-CV-5435-01	-710.42	-808.29	-1518.71
TCGA-CV-5436-01	-648.21	-59.44	-707.65
TCGA-CV-5439-01	-1217.83	358.81	-859.01
TCGA-CV-5440-01	-1120.7	-522.81	-1643.51
TCGA-CV-5441-01	-525.82	-23.82	-549.64
TCGA-CV-5442-01	-1893.48	-696.42	-2589.9
TCGA-CV-5443-01	-183.16	1361.28	1178.12
TCGA-CV-5444-01	1216.52	1163.38	2379.9
TCGA-CV-5966-01	-302.69	1007.22	704.53
TCGA-CV-5970-01	58.54	234.44	292.98
TCGA-CV-5971-01	1309.27	1205.42	2514.69
TCGA-CV-5973-01	-1318.91	-47.17	-1366.09
TCGA-CV-5976-01	-573.15	-127.34	-700.49
TCGA-CV-5977-01	-1075.55	-163.57	-1239.12
TCGA-CV-5978-01	916.64	1090.78	2007.42
TCGA-CV-5979-01	-984.47	-79.62	-1064.09
TCGA-CV-6003-01	-1220.6	-253.39	-1473.99
TCGA-CV-6433-01	-1044.84	1527.86	483.02
TCGA-CV-6436-01	-655.03	1262.17	607.14
TCGA-CV-6441-01	-1942.71	-516.99	-2459.7
TCGA-CV-6933-01	-108.2	923	814.8
TCGA-CV-6934-01	1639.07	1221.22	2860.29
TCGA-CV-6935-01	-203.51	-417.1	-620.61
TCGA-CV-6936-01	-706.47	298.35	-408.12
TCGA-CV-6937-01	-486.21	-129.89	-616.1
TCGA-CV-6938-01	-339.5	1541.68	1202.18
TCGA-CV-6939-01	-280.16	711.59	431.43
TCGA-CV-6940-01	-673.92	-327.94	-1001.86
TCGA-CV-6941-01	287.98	49.18	337.16
TCGA-CV-6942-01	671.15	1607.24	2278.39
TCGA-CV-6943-01	1187.82	2112.03	3299.85
TCGA-CV-6945-01	-1032.56	-480.77	-1513.32
TCGA-CV-6948-01	-886.77	134.5	-752.26
