ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-A8-A084-01	63.84	-557.03	-493.2
TCGA-A8-A085-01	174.09	-1063.66	-889.57
TCGA-A8-A086-01	772.88	-387.05	385.82
TCGA-A8-A08A-01	463.57	311.53	775.1
TCGA-A8-A08B-01	-681.99	45.56	-636.43
TCGA-A8-A08C-01	-176.41	-518.31	-694.71
TCGA-A8-A08F-01	714.08	955.53	1669.61
TCGA-A8-A08G-01	277.44	-10.29	267.16
TCGA-A8-A08H-01	1884.68	2180.04	4064.72
TCGA-A8-A08I-01	-48.79	1711.49	1662.7
TCGA-A8-A08J-01	560.88	-88	472.88
TCGA-A8-A08L-01	-13.66	486.35	472.69
TCGA-A8-A08O-01	357.71	-877.47	-519.76
TCGA-A8-A08P-01	903.16	1258.77	2161.93
TCGA-A8-A08R-01	415.11	893.45	1308.56
TCGA-A8-A08S-01	-69.65	-273.56	-343.21
TCGA-A8-A08T-01	250.28	-383.51	-133.23
TCGA-A8-A08X-01	1001.98	794.39	1796.37
TCGA-A8-A08Z-01	1469.66	712.06	2181.72
TCGA-A8-A090-01	563.31	346.48	909.79
TCGA-A8-A091-01	91.42	-353.82	-262.4
TCGA-A8-A092-01	34.44	-284.41	-249.97
TCGA-A8-A093-01	541.96	-775.71	-233.75
TCGA-A8-A094-01	507.61	1005.93	1513.55
TCGA-A8-A095-01	137.97	-319.45	-181.48
TCGA-A8-A096-01	1307.14	1307.6	2614.74
TCGA-A8-A097-01	837.22	109.7	946.92
TCGA-A8-A099-01	124.03	-144.85	-20.82
TCGA-A8-A09A-01	765.22	-4.34	760.88
TCGA-A8-A09B-01	324.4	-403.81	-79.41
TCGA-A8-A09C-01	29.95	-821.87	-791.92
TCGA-A8-A09D-01	1423.9	480.05	1903.95
TCGA-A8-A09E-01	-364.15	-680.44	-1044.59
TCGA-A8-A09G-01	9.76	535.75	545.51
TCGA-A8-A09I-01	325.38	590.06	915.44
TCGA-A8-A09K-01	-778.11	178.77	-599.34
TCGA-A8-A09M-01	85.69	643.85	729.55
TCGA-A8-A09N-01	186.13	-285.47	-99.34
TCGA-A8-A09Q-01	754.29	935.64	1689.93
TCGA-A8-A09R-01	685.04	547	1232.04
TCGA-A8-A09T-01	382.31	-162.64	219.67
TCGA-A8-A09V-01	560.48	-717.91	-157.43
TCGA-A8-A09W-01	577.21	44.56	621.77
TCGA-A8-A09X-01	949.3	1204.71	2154.01
TCGA-A8-A09Z-01	-246.93	726.31	479.38
TCGA-A8-A0A1-01	1080.32	1224.44	2304.76
TCGA-A8-A0A2-01	622.41	158.53	780.95
TCGA-A8-A0A4-01	516.81	-673.59	-156.78
TCGA-A8-A0A6-01	559.76	1216.3	1776.07
TCGA-A8-A0A7-01	1469.22	2357.55	3826.77
TCGA-A8-A0A9-01	389.67	-64.79	324.88
TCGA-A8-A0AB-01	-285.17	-1170.34	-1455.5
TCGA-A8-A0AD-01	868.86	403.19	1272.05
TCGA-AC-A23C-01	644.89	305.15	950.04
TCGA-AC-A23E-01	1574.24	275.95	1850.19
TCGA-AC-A23G-01	1702.15	541.65	2243.8
TCGA-AC-A23H-01	45.03	-631.15	-586.12
TCGA-AC-A2B8-01	1202.58	623.72	1826.3
TCGA-AC-A2BK-01	-1450.61	-1111.27	-2561.89
TCGA-AC-A2BM-01	-44.57	208.96	164.4
TCGA-AC-A2FB-01	790.3	1925.47	2715.77
TCGA-AC-A2FE-01	1036.09	1530.43	2566.51
TCGA-AC-A2FF-01	1598.17	845.71	2443.88
TCGA-AC-A2FG-01	240.7	-405.14	-164.45
TCGA-AC-A2FK-01	363.42	1.21	364.63
TCGA-AC-A2FM-01	-232.73	-946.95	-1179.68
TCGA-AC-A2FO-01	1050.29	1031.93	2082.21
TCGA-AC-A2QH-01	531.08	-373.11	157.98
TCGA-AC-A2QI-01	872.64	481.79	1354.43
TCGA-AC-A2QJ-01	1184.28	1619.69	2803.98
TCGA-AC-A3BB-01	1188.94	1243.36	2432.3
TCGA-AC-A3EH-01	90.15	-183.83	-93.68
TCGA-AC-A3HN-01	1367.83	710.33	2078.16
TCGA-AC-A3OD-01	554.52	1313.18	1867.7
TCGA-AC-A3QP-01	944.07	779.54	1723.61
TCGA-AC-A3QQ-01	136.95	372.77	509.72
TCGA-AC-A3TM-01	54.29	231.1	285.39
TCGA-AC-A3TN-01	-44.43	-371.27	-415.69
TCGA-AC-A3W5-01	1352.19	1276.69	2628.88
TCGA-AC-A3W6-01	1451.65	1070.96	2522.61
TCGA-AC-A3W7-01	476.46	-341.41	135.05
TCGA-AC-A3YI-01	1059.51	210.56	1270.06
TCGA-AC-A3YJ-01	-482.64	281.12	-201.52
TCGA-AC-A4ZE-01	-178.67	-518.32	-696.99
TCGA-AC-A5EH-01	883.52	344.64	1228.16
TCGA-AC-A5XS-01	656.27	1020.85	1677.13
TCGA-AC-A5XU-01	396.09	-488.46	-92.37
TCGA-AC-A62V-01	81.81	-287.73	-205.92
TCGA-AC-A62X-01	-1014.85	-704.15	-1719
TCGA-AC-A62Y-01	478.06	732.47	1210.53
TCGA-AC-A6IV-01	1705.2	1314.67	3019.87
TCGA-AC-A6IW-01	-216.01	1928.49	1712.48
TCGA-AC-A6IX-06	-11.87	1297.66	1285.79
TCGA-AC-A6IX-01	1055.94	345.23	1401.17
TCGA-AC-A6NO-01	-223.99	-687.22	-911.21
TCGA-AC-A7VB-01	-1049.95	-1300.4	-2350.35
TCGA-AC-A7VC-01	826.44	199.85	1026.29
TCGA-AC-A8OP-01	380.01	-212.81	167.2
TCGA-AC-A8OQ-01	807.46	920.92	1728.38
TCGA-AC-A8OR-01	-1125.33	-219.16	-1344.49
TCGA-AC-A8OS-01	1052.35	555.49	1607.84
TCGA-AN-A03X-01	1349.36	141.92	1491.28
TCGA-AN-A03Y-01	-100.06	-76.95	-177.01
TCGA-AN-A041-01	733.24	-235.96	497.28
TCGA-AN-A046-01	751.18	937.17	1688.35
TCGA-AN-A049-01	625.9	238.71	864.62
TCGA-AN-A04A-01	833.84	-354.84	479
TCGA-AN-A04C-01	-487.04	-158.21	-645.25
TCGA-AN-A04D-01	-1212.79	-1238.49	-2451.28
TCGA-AN-A0AJ-01	162.55	776.98	939.53
TCGA-AN-A0AK-01	-581.43	-305.38	-886.81
TCGA-AN-A0AL-01	691.57	646.81	1338.38
TCGA-AN-A0AM-01	179.93	359.38	539.32
TCGA-AN-A0AR-01	-987.56	-923.78	-1911.34
TCGA-AN-A0AS-01	842.96	217.82	1060.78
TCGA-AN-A0AT-01	-700.33	-158.83	-859.16
TCGA-AN-A0FD-01	856.2	42.17	898.37
TCGA-AN-A0FF-01	451.53	470.21	921.74
TCGA-AN-A0FJ-01	66.71	-515.11	-448.4
TCGA-AN-A0FK-01	-117.21	-487.73	-604.94
TCGA-AN-A0FL-01	-767.61	-736.5	-1504.11
TCGA-AN-A0FN-01	2026.84	1625.63	3652.47
TCGA-AN-A0FS-01	816.12	-526.65	289.46
TCGA-AN-A0FT-01	615.93	51.04	666.97
TCGA-AN-A0FV-01	351.18	-645.76	-294.58
TCGA-AN-A0FW-01	275.55	-373.35	-97.81
TCGA-AN-A0FX-01	164.07	-721.47	-557.4
TCGA-AN-A0FY-01	343.99	-547.53	-203.54
TCGA-AN-A0FZ-01	71.95	-744.38	-672.44
TCGA-AN-A0G0-01	-247.04	-372.16	-619.19
TCGA-AN-A0XL-01	1039.84	-373.74	666.1
TCGA-AN-A0XN-01	1694.39	831.78	2526.17
TCGA-AN-A0XO-01	171.37	-1125.18	-953.81
TCGA-AN-A0XP-01	364.02	-411.01	-46.99
TCGA-AN-A0XR-01	-319.06	-709.59	-1028.66
TCGA-AN-A0XS-01	1046.57	576.68	1623.25
TCGA-AN-A0XT-01	-17.77	-595.42	-613.19
TCGA-AN-A0XU-01	-701.52	70.93	-630.59
TCGA-AN-A0XV-01	712.86	7.52	720.38
TCGA-AN-A0XW-01	1482.93	1249.28	2732.21
TCGA-AO-A03L-01	623.67	121.14	744.81
TCGA-AO-A03M-01	176.62	933.39	1110.01
TCGA-AO-A03N-01	288.67	-512.25	-223.58
TCGA-AO-A03O-01	-325.1	331.35	6.26
TCGA-AO-A03P-01	-50.31	-534.21	-584.52
TCGA-AO-A03R-01	-119.63	593.72	474.09
